Review ID,Author Name,Author URL,Rating,Date Formatted,Date Relative,Review Text,Page Number
ChdDSUhNMG9nS0VJQ0FnTUNBcTduMDNRRRAB,Sittipong KH,https://www.google.com/maps/contrib/103457498877030303665/reviews?hl=th,5,04/02/2025,9 เดือนที่แล้ว,ร้านข้าวซอย ย่านจุฬา บรรทัดทอง รสชาติดี อร่อย น่่องไก่ใหญ่ นุ่ม นอกจากข้าวซอย ยังมีเมนูอาหารเหนือหลายเมนู ขนมจีนน้ำเงี้ยว ข้าวราดแกงฮังเล แคปหมูไว้กินเล่น อาหารรอไม่นาน ร้านอยู่ในซอยไม่ได้อยู่ริมถนนบรรทัดทอง จอดรถที่สวนหลวงสแควร์ แล้วเดินมาสะดวกกว่า,1
ChdDSUhNMG9nS0VJQ0FnTUNJcEoyMTZRRRAB,Kanin Suwannarat,https://www.google.com/maps/contrib/114814343665375985252/reviews?hl=th,5,30/03/2025,7 เดือนที่แล้ว,ลาบหมูคั่วอร่อยมาก ดีกว่าหลายๆร้านที่เคยไปกินที่เชียงใหม่อีก มีที่ขอตินิดนึงคืออากาศในห้องแอร์ร้อนไปหน่อย,1
ChdDSUhNMG9nS0VJQ0FnTUNJMnNQN3NBRRAB,Tanida Suwannarat,https://www.google.com/maps/contrib/113918843296231930463/reviews?hl=th,5,01/04/2025,7 เดือนที่แล้ว,อาหารอร่อยเกือบทุกอย่าง ที่สั่งประจำคือ หมูสามชั้นทอด กับลาบหมูคั่วอร่อยรสชาติเข้มข้นมาก,1
ChdDSUhNMG9nS0VJQ0FnTUNJOTd5bml3RRAB,Bebo,https://www.google.com/maps/contrib/102880554479256487780/reviews?hl=th,1,05/04/2025,7 เดือนที่แล้ว,พวกข้าวซอยเเละน้ำเงี้ยวเหมือนเเกะซองมาเเล้วเทน้ำร้อนใส่ ของทอด ทอดมาไม่ซับน้ำมันเลย บอกให้ไปซับมาก็มันเยิ้มเหมือนเดิม กินไม่ได้เลย เข้ามาร้านมีกลิ่นแปลกๆ เสียดายเงินมาก คิดว่ารีวิว 5 ดาวส่วนใหญ่มาจากที่เเถมโค้ก,1
ChdDSUhNMG9nS0VJQ0FnTUNZc09fM2lRRRAB,Kitt Panyarat,https://www.google.com/maps/contrib/101337268933278846804/reviews?hl=th,5,30/04/2025,6 เดือนที่แล้ว,อาหารเหนือที่ร้านรสชาติอร่อย เมนูลาบใส่เครื่องเต็มที่ น้ำพริกรสชาติกลมกล่อม กินกับไส้อั่ว กับสามชั้นทอดได้ลงตัว,1
ChdDSUhNMG9nS0VJQ0FnSURQcGR2Z3VBRRAB,Coke Somchai,https://www.google.com/maps/contrib/105042942888707527274/reviews?hl=th,3,04/12/2024,11 เดือนที่แล้ว,ร้านเป็น​อาคาร​พาณิชย์​หนึ่ง​คูหา​ใน​ซอย​จุฬาลงกรณ์​ 14 ย่านบรรทัด​ทอง​ เมนู​หลัก​คือข้าวซอย​ตามชื่อร้าน แต่ก็มีเมนู​ขนมจีน​น้ำเงี้ยวที่ได้รับความนิยม​เช่นกัน ตลอดจนเมนู​อาหาร​เหนือ​อีกหลายอย่าง วันนี้​ลองข้าวซอย​ขลุก​ข​ลิก​ไก่ ใส่น่องไก่เนื้อนุ่มชิ้นใหญ่​พอสมควร และ​ขนมจีน​น้ำ​เงี้ยว​ (มีดอกงิ้ว) รสชาติ​ authentic ใช้ได้ ไม่จัดจ้านมาก,1
ChZDSUhNMG9nS0VJdTlvWlhPdk5DT2N3EAE,aiya sukkho,https://www.google.com/maps/contrib/113520207275853973499/reviews?hl=th,5,01/06/2025,5 เดือนที่แล้ว,ข้าวซอยที่นี่อร่อยมากๆค่า มาบ่อยๆ ☺️,1
Ci9DQUlRQUNvZENodHljRjlvT214bmQxZHRTWE41U2xoYWMxOHRXbGxtWmpnd1EzYxAB,Onanong bongbud,https://www.google.com/maps/contrib/112282874962959917506/reviews?hl=th,5,17/06/2025,4 เดือนที่แล้ว,อร่อยมากค่ะ รสชาติเหมือนกินที่เชียงใหม่เลย,1
ChZDSUhNMG9nS0VJQ0FnSURiczV2VGRBEAE,Narongkorn,https://www.google.com/maps/contrib/112180382616041571248/reviews?hl=th,5,09/08/2024,ปีที่แล้ว,"รสชาติอาหารดี ปริมาณค่อนข้างเยอะสามารถกินอิ่มในจานเดียว ไม่เค็มเมื่อเทียบกับร้านอื่น ๆ ในกรุงเทพฯ ทั้งข้าวซอย และน้ำเงี้ยว เนื้อหนานุ่ม แต่อาจจะไม่แนะนำสำหรับคนที่ชอบกินรสจัด The foods are delicious with good portions and not salty compared with other shops, the meat is big and soft",1
Ci9DQUlRQUNvZENodHljRjlvT214aU1WcGpNVUZmV0RSNFFpMDNNR3RCTmswMGVtYxAB,Man Sahassawat,https://www.google.com/maps/contrib/101121283441973337798/reviews?hl=th,5,27/07/2025,3 เดือนที่แล้ว,อาหารอร่อยมาก กินแล้วคิดถึงเหนือสุดๆ,1
Ci9DQUlRQUNvZENodHljRjlvT2pab1YwWndZbmhtYzJGRGJUVjZiRXRFWkhSaFFrRRAB,Achiraya Churdchinnapa,https://www.google.com/maps/contrib/108009749250366671024/reviews?hl=th,5,28/08/2025,2 เดือนที่แล้ว,อาหารอร่อย ไม่ต้องรอคิว ขนมจีนน้ำเงี้ยวอร่อย,2
ChZDSUhNMG9nS0VJQ0FnSUQ3X09qTldREAE,Churindhorn Nitatvijit,https://www.google.com/maps/contrib/111135796651504905870/reviews?hl=th,5,22/08/2024,ปีที่แล้ว,อาหารอร่อย รสชาติใกล้ต้นตำหรับมาก แกงฮังเลเปื่อยละลายหอมน้ำซอสที่เคี่ยวอย่างดี น้ำพริกหนุ่มรสชาติกำลังดี ไม่เผ็ดเกินไป หมูทอด หมูยอ ไส้อั่วอร่อยมากๆ น้ำพริกอ่องรสกลางๆ ยังเข้มข้นไม่สุด แต่รวมๆคือดีเลย สั่งชุดขันโตกมาครบ น้ำลำไย ชากำเย็น โอเลี้ยงชื่นใจ,2
Ci9DQUlRQUNvZENodHljRjlvT205UU9IbHNTMGR5V21Jd1VURllkMHBFU1VKVGJsRRAB,Stone Head,https://www.google.com/maps/contrib/102238569534929989149/reviews?hl=th,5,07/09/2025,2 เดือนที่แล้ว,ร้านประจำเลยร้านนี้ อร่อย สะอาด ราคาดี,2
ChZDSUhNMG9nS0VJQ0FnSURUd1BqcWJREAE,Sittipong KH,https://www.google.com/maps/contrib/117091750386348511447/reviews?hl=th,5,21/05/2024,ปีที่แล้ว,ข้าวซอยไก่รสชาติดี ไก่น่องใหญ่นุ่มมาก ราคา 70 บาท ก็คืออิ่มเลย แคปหมูก็ดีครับ กรอบ ไม่แข็ง กินคู่ข้าวซอย หรือน้ำพริกหนุ่ม ร้านจะอยู่ในซอย ไม่ได้อยู่ริมถนนบรรทัดทอง จอดรถที่สวนหลวงสแควร์แล้วเดินมานิดเดียว,2
Ci9DQUlRQUNvZENodHljRjlvT2t0Q1ZISk9XbUpxY0ZadllsOHRRakpHVDJaNFVuYxAB,Tom Sarawut,https://www.google.com/maps/contrib/101888044569881712700/reviews?hl=th,5,12/08/2025,2 เดือนที่แล้ว,อร่อยจี๊งนึกถึงที่บ้านเลยอ่ะ,2
Ci9DQUlRQUNvZENodHljRjlvT201bExUaHJOMmQzY1ZSaVFtMWpTRzkzYVRSNlEzYxAB,Phone h,https://www.google.com/maps/contrib/112116377379706594464/reviews?hl=th,5,09/08/2025,3 เดือนที่แล้ว,อร่อยมากค่ะ ราคาน่ารัก อาหารเร็ว เริ่ดๆ,2
ChZDSUhNMG9nS0VJQ0FnSUNsbGFHcURnEAE,Mathee Mafangnok,https://www.google.com/maps/contrib/100863085315574502391/reviews?hl=th,5,23/11/2023,ปีที่แล้ว,Hidden Gems ร้านอาหารเหนือย่านบรรทัดทอง . ข้าวซอยรสชาติตามต้นตำหรับเข้มข้น ไก่เปื่อยเนื้อหลุดจากกระดูก . แกงฮังเล หมูสามชั้นนุ่มขนาดนี้ไม่ต้องเคี้ยว รสชาติตามต้นตำหรับเช่นกัน . ⭐⭐⭐⭐⭐,2
Ci9DQUlRQUNvZENodHljRjlvT2tkU09GWjBSMmhtYVRKa2NXaDNTVEp4WjJscFlrRRAB,Tanaporn,https://www.google.com/maps/contrib/105355732166062554267/reviews?hl=th,3,19/07/2025,3 เดือนที่แล้ว,ข้าวซอยอร่อย แต่ผัดไทยหวานตัดขา,2
Ci9DQUlRQUNvZENodHljRjlvT214cVZYSXpNSFp3VkdkRWNsaElja1ZXTFRjNE9FRRAB,Black Panther,https://www.google.com/maps/contrib/112530220389420393052/reviews?hl=th,5,27/08/2025,2 เดือนที่แล้ว,ได้อาหารเร็ว บริการดี อร่อยค่ะ,2
ChdDSUhNMG9nS0VJQ0FnSUROOVpTQjZnRRAB,Nuch Suppanuch,https://www.google.com/maps/contrib/108200025706542139406/reviews?hl=th,5,24/01/2024,ปีที่แล้ว,อาหารเหนือแบบจานเดียว ข้าวซอยรสชาติจัดจ้าน แต่สั่งได้ไม่กี่เมนูเพราะร้านเตรียมของค่อนข้างน้อย และใช้เวลานานก่อนเสิร์ฟ ราคาไม่แพงเริ่ม 70 บาท,2
ChZDSUhNMG9nS0VJQ0FnSUNQZ3J6MExnEAE,S.Kidsanar แบกพุงไปกิน,https://www.google.com/maps/contrib/116952242574668469969/reviews?hl=th,3,22/11/2024,11 เดือนที่แล้ว,รสชาดอาหารอร่อยดี ราคากลางๆ เสียอย่างเดียวชั้น 2 ลากโต๊ะ เก้าอี้ เสียงดัง...,2
ChZDSUhNMG9nS0VJQ0FnSUN2MTRTaU93EAE,Supasorn Muanmai,https://www.google.com/maps/contrib/102586862862264391224/reviews?hl=th,3,15/12/2024,10 เดือนที่แล้ว,เข้ามาตอนร้านแทบไม่มีคน สั่งข้าวซอยไก่ (เมนูที่ไม่ต้องทำไรใหม่เลย) รอนานมากกว่า 15 นาทีไม่มา สรุป ลืมออเดอร์ รสชาติปกติทั่วไปเลย,2
Ci9DQUlRQUNvZENodHljRjlvT2sxbVMwSndUSGhqVHpGbExYVnZVblZ3YzBKU1NsRRAB,นิวใจ ฮะ,https://www.google.com/maps/contrib/100035383593468181473/reviews?hl=th,5,17/06/2025,4 เดือนที่แล้ว,อร่อย คนเหนือกินแล้ว ถือว่าผ่านครับ,2
Ci9DQUlRQUNvZENodHljRjlvT2pJMGNGYzVXVkpJYVdseWQxZzBkR1E1Y0VwMGQxRRAB,Anna B.,https://www.google.com/maps/contrib/117343460713991374686/reviews?hl=th,1,Unknown Date,Unknown Date,โต๊ะและเล่มเมนูคือเปื้อนอาหารแล้วไม่ทำความสะอาดให้ก่อน ข้าวซอยหวาน ให้น้อยและแพง ไม่อิ่มเลย ตอนมาเย็นเฉียบเลยขอพนักงานว่าขอร้อนๆได้ไหม เค้าไม่ได้ทำให้ใหม่แต่เอาเข้าเตาไมโครเวฟ ข้าวซอยคือใส่ถ้วยพลาสติกแล้วเอาไปเข้าไมโครเวฟทั้งถ้วยพลาสติก แย่มาก อันตรายนะคะ ไม่โอเคไม่แนะนำร้านนี้,2
Ci9DQUlRQUNvZENodHljRjlvT25GMGFqQkdTbVZQU25oSmJ6VmhaeloxUW1KR1FYYxAB,Thanyapon Sumpradit,https://www.google.com/maps/contrib/103043624794617362859/reviews?hl=th,5,17/06/2025,4 เดือนที่แล้ว,อร่อยมากค่ะ เหมือนอยู่เหนือเลยค่ะ,2
ChdDSUhNMG9nS0VLX0F6TDZLb0ppZWx3RRAB,NichiTaey,https://www.google.com/maps/contrib/113426308196096084599/reviews?hl=th,4,27/05/2025,5 เดือนที่แล้ว,ข้าวซอยอร่อยมาก น้ำพริกหนุ่ม แต่อย่างอื่นกลางๆ,2
